major_id,major_name,school_name,major_rank
11493,中国语言文学类,七台河职业学院,994
12570,中国语言文学类,三峡大学,1676
12584,中国语言文学类,三峡大学科技学院,1046
12058,中国语言文学类,三明医学科技职业学院,1043
12004,中国语言文学类,三明学院,311
11613,中国语言文学类,三江学院,1755
12497,中国语言文学类,三门峡社会管理职业学院,1231
12427,中国语言文学类,三门峡职业技术学院,1391
11549,中国语言文学类,上海东海职业技术学院,1501
11542,中国语言文学类,上海中侨职业技术大学,967
11519,中国语言文学类,上海中医药大学,787
11568,中国语言文学类,上海中华职业技术学院,687
11510,中国语言文学类,上海交通大学,744
11554,中国语言文学类,上海交通职业技术学院,592
11527,中国语言文学类,上海体育大学,1646
11517,中国语言文学类,上海健康医学院,890
11531,中国语言文学类,上海公安学院,1000
11541,中国语言文学类,上海兴伟学院,689
11565,中国语言文学类,上海农林职业技术学院,1609
11551,中国语言文学类,上海出版印刷高等专科学校,1107
11571,中国语言文学类,上海南湖职业技术学院,1320
11538,中国语言文学类,上海商学院,646
11553,中国语言文学类,上海城建职业学院,682
11522,中国语言文学类,上海外国语大学,1673
11544,中国语言文学类,上海外国语大学贤达经济人文学院,1282
11530,中国语言文学类,上海大学,1727
11524,中国语言文学类,上海对外经贸大学,1069
11569,中国语言文学类,上海工会管理职业学院,265
11563,中国语言文学类,上海工商外国语职业学院,621
11550,中国语言文学类,上海工商职业技术学院,1404
11532,中国语言文学类,上海工程技术大学,1050
11561,中国语言文学类,上海工艺美术职业学院,685
11521,中国语言文学类,上海师范大学,1323
11545,中国语言文学类,上海师范大学天华学院,272
11516,中国语言文学类,上海应用技术大学,232
11540,中国语言文学类,上海建桥学院,1571
11575,中国语言文学类,上海建设管理职业技术学院,1252
11560,中国语言文学类,上海思博职业技术学院,390
11529,中国语言文学类,上海戏剧学院,925
11536,中国语言文学类,上海政法学院,1344
11548,中国语言文学类,上海旅游高等专科学校,957
11535,中国语言文学类,上海杉达学院,974
11559,中国语言文学类,上海欧华职业技术学院,669
11570,中国语言文学类,上海民航职业技术学院,609
11558,中国语言文学类,上海民远职业技术学院,891
11562,中国语言文学类,上海济光职业技术学院,618
11576,中国语言文学类,上海浦东职业技术学院,814
11513,中国语言文学类,上海海事大学,460
11555,中国语言文学类,上海海事职业技术学院,1575
11525,中国语言文学类,上海海关学院,1474
11518,中国语言文学类,上海海洋大学,469
11574,中国语言文学类,上海现代化工职业学院,903
11512,中国语言文学类,上海理工大学,119
11515,中国语言文学类,上海电力大学,784
11556,中国语言文学类,上海电子信息职业技术学院,1165
11567,中国语言文学类,上海电影艺术职业学院,170
11534,中国语言文学类,上海电机学院,915
11572,中国语言文学类,上海科创职业技术学院,643
11564,中国语言文学类,上海科学技术职业学院,4
11546,中国语言文学类,上海科技大学,130
11533,中国语言文学类,上海立信会计金融学院,899
11539,中国语言文学类,上海立达学院,166
11537,中国语言文学类,上海第二工业大学,149
11547,中国语言文学类,上海纽约大学,111
11552,中国语言文学类,上海行健职业学院,1630
11543,中国语言文学类,上海视觉艺术学院,1761
11523,中国语言文学类,上海财经大学,686
11805,中国语言文学类,上海财经大学浙江学院,38
11566,中国语言文学类,上海邦德职业技术学院,72
11573,中国语言文学类,上海闵行职业技术学院,1713
11557,中国语言文学类,上海震旦职业学院,207
11528,中国语言文学类,上海音乐学院,1005
12187,中国语言文学类,上饶卫生健康职业学院,1615
12089,中国语言文学类,上饶师范学院,1343
12128,中国语言文学类,上饶幼儿师范高等专科学校,1009
12159,中国语言文学类,上饶职业技术学院,225
11436,中国语言文学类,东北农业大学,148
11251,中国语言文学类,东北大学,999
11369,中国语言文学类,东北师范大学,173
11437,中国语言文学类,东北林业大学,384
11363,中国语言文学类,东北电力大学,1710
11433,中国语言文学类,东北石油大学,657
11274,中国语言文学类,东北财经大学,1197
11514,中国语言文学类,东华大学,1218
12081,中国语言文学类,东华理工大学,16
11579,中国语言文学类,东南大学,520
11623,中国语言文学类,东南大学成贤学院,1606
12293,中国语言文学类,东营科技职业学院,856
12282,中国语言文学类,东营职业学院,229
